영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
미션 임파서블: 로그네이션,Action Adventure Thriller,2015,6126488,1202,롯데쇼핑(주)롯데엔터테인먼트,150000000.0,42904547.52,710916403
반지의 제왕 : 왕의 귀환,Adventure Drama Fantasy,2003,5960000,105,워너브러더스코리아(주) 씨제이엔터테인먼트,94000000.0,28770329.0,1138585547
인셉션,Action Adventure Sci-Fi Thriller,2010,5926948,528,(주)디스테이션 워너브러더스코리아(주),160000000.0,38145542.39,839381898
레미제라블,Drama Musical Romance,2012,5911890,696,유니버설픽쳐스인터내셔널코리아(유),61000000.0,38198726.56,442757529
닥터 스트레인지: 대혼돈의 멀티버스,Action Adventure Fantasy Sci-Fi,2022,5884587,2691,월트디즈니컴퍼니코리아유한책임회사,,48491980.18,955775804
캡틴 마블,Action Adventure Sci-Fi,2019,5801069,2100,월트디즈니컴퍼니코리아유한책임회사,160000000.0,44172733.7,1131416446
미션 임파서블 3,Action Adventure Thriller,2006,5740789,134,UIP코리아,150000000.0,37618495.0,398479497
쥬라기 월드: 폴른 킹덤,Action Adventure Sci-Fi,2018,5661128,1972,유니버설픽쳐스인터내셔널코리아(유),170000000.0,45236231.22,1310469037
쥬라기 월드,Action Adventure Sci-Fi,2015,5546792,1290,유니버설픽쳐스인터내셔널코리아(유),150000000.0,42244678.69,1671537444
2012,Action Adventure Sci-Fi,2009,5462953,789,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,30879948.81,791217826
앤트맨과 와스프,Action Adventure Comedy Sci-Fi,2018,5447826,1775,월트디즈니컴퍼니코리아유한책임회사,,43140990.32,622674139
닥터 스트레인지,Action Adventure Fantasy Sci-Fi,2016,5446379,1503,월트디즈니컴퍼니코리아(주),165000000.0,40919105.82,677796833
블랙 팬서,Action Adventure Sci-Fi,2018,5398994,1620,월트디즈니컴퍼니코리아유한책임회사,,41702849.79,1349926083
트랜스포머: 사라진 시대,Action Adventure Sci-Fi,2014,5295801,1602,(주)씨제이이엔엠,,41789093.09,441656550
조커,Crime Drama Thriller,2019,5255308,1418,워너브러더스코리아(주),55000000.0,38984191.31,1078958629
월드 워 Z,Action Adventure Horror Sci-Fi,2013,5237525,964,롯데쇼핑(주)롯데엔터테인먼트,190000000.0,35209085.51,540455876
반지의 제왕 : 두 개의 탑,Adventure Drama Fantasy,2002,5183000,79,워너브러더스코리아(주) (주)시네마서비스,93000000.0,21046515.0,888483037
미녀와 야수,Adventure Family Fantasy Musical Romance,2017,5138193,1627,월트디즈니컴퍼니코리아유한책임회사,160000000.0,37257781.45,1266115964
쿵푸팬더 2,Action Adventure Animation Comedy Drama Family Fantasy Thriller,2011,5062722,948,(주)씨제이이엔엠,150000000.0,39976829.47,665692281
아쿠아맨,Action Adventure Fantasy Sci-Fi,2018,5038134,1285,워너브러더스코리아(주),,40094394.59,1152028393
인사이드 아웃,Adventure Animation Comedy Drama Family Fantasy,2015,4969735,777,월트디즈니컴퍼니코리아(주),175000000.0,33604969.37,859076254
캐리비안의 해적: 세상의 끝에서,Action Adventure Fantasy,2007,4966571,244,한국소니픽쳐스릴리징브에나비스타영화(주),300000000.0,31568003.0,961691209
킹스맨: 골든 서클,Action Adventure Comedy Crime Thriller,2017,4945484,1687,이십세기폭스코리아(주),104000000.0,36245167.08,410902662
스파이더맨 3,Action Adventure Sci-Fi,2007,4935660,198,한국소니픽쳐스릴리징브에나비스타영화(주),258000000.0,33960701.0,891697618
더 퍼스트 슬램덩크,Animation Comedy Drama Sport,2023,4903225,1023,(주)넥스트엔터테인먼트월드(NEW),,39369077.0,246880077
마션,Adventure Drama Sci-Fi,2015,4880800,1132,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),108000000.0,35052977.67,630621406
토르: 라그나로크,Action Adventure Comedy Fantasy Sci-Fi,2017,4857152,1640,월트디즈니컴퍼니코리아유한책임회사,180000000.0,34707326.05,855301806
어메이징 스파이더맨,Action Sci-Fi,2012,4853123,1118,한국소니픽쳐스릴리징브에나비스타영화(주),230000000.0,36529458.8,758725893
라이온 킹,Adventure Animation Drama Family Musical,2019,4743184,1936,월트디즈니컴퍼니코리아유한책임회사,45000000.0,35617817.44,979161373
