"구·군별","내외국인별","시점","세대수[세대]","인구[명]","남자인구[명]","여자인구[명]",
"남포동","총인구","2020.07 월","697","1285","811","474",
"남포동","총인구","2020.08 월","696","1287","818","469",
"남포동","총인구","2020.09 월","695","1284","813","471",
"남포동","총인구","2020.10 월","706","1289","820","469",
"남포동","총인구","2020.11 월","706","1278","817","461",
"남포동","총인구","2020.12 월","704","1279","812","467",
"남포동","총인구","2021.01 월","699","1274","809","465",
"남포동","총인구","2021.02 월","690","1260","802","458",
"남포동","총인구","2021.03 월","682","1236","788","448",
"남포동","총인구","2021.04 월","682","1224","781","443",
"남포동","총인구","2021.05 월","681","1215","771","444",
"남포동","총인구","2021.06 월","635","1174","752","422",
"남포동","총인구","2021.07 월","635","1184","762","422",
"남포동","총인구","2021.08 월","632","1178","763","415",
"남포동","총인구","2021.09 월","632","1177","764","413",
"남포동","총인구","2021.10 월","629","1166","765","401",
"남포동","총인구","2021.11 월","630","1159","761","398",
"남포동","총인구","2021.12 월","634","1156","761","395",
"남포동","총인구","2022.01 월","626","1155","768","387",
"남포동","총인구","2022.02 월","629","1157","772","385",
"남포동","총인구","2022.03 월","622","1139","754","385",
"남포동","총인구","2022.04 월","623","1136","751","385",
"남포동","총인구","2022.05 월","624","1133","752","381",
"남포동","총인구","2022.06 월","622","1129","747","382",
"남포동","총인구","2022.07 월","624","1149","766","383",
"남포동","총인구","2022.08 월","618","1139","763","376",
"남포동","총인구","2022.09 월","604","1124","759","365",
"남포동","총인구","2022.10 월","601","1122","760","362",
"남포동","총인구","2022.11 월","601","1118","755","363",
"남포동","총인구","2022.12 월","596","1113","753","360",
"남포동","총인구","2023.01 월","596","1111","749","362",
"남포동","총인구","2023.02 월","602","1115","750","365",
"남포동","총인구","2023.03 월","592","1097","739","358",
"남포동","총인구","2023.04 월","582","1080","729","351",
"남포동","총인구","2023.05 월","580","1073","718","355",
"남포동","총인구","2023.06 월","580","1080","723","357",
"남포동","총인구","2023.07 월","575","1077","723","354",
"남포동","총인구","2023.08 월","571","1074","721","353",
"남포동","총인구","2023.09 월","570","1068","717","351",
"남포동","총인구","2023.10 월","566","1064","713","351",
"남포동","총인구","2023.11 월","562","1063","713","350",
"남포동","총인구","2023.12 월","562","1057","710","347",
"남포동","총인구","2024.01 월","563","1050","705","345",
"남포동","총인구","2024.02 월","566","1053","708","345",
"남포동","총인구","2024.03 월","571","1057","709","348",
"남포동","총인구","2024.04 월","573","1049","707","342",
"남포동","총인구","2024.05 월","565","1038","695","343",
"남포동","총인구","2024.06 월","562","1054","713","341",
"남포동","총인구","2024.07 월","561","1048","707","341",
"남포동","총인구","2024.08 월","563","1046","704","342",
"남포동","총인구","2024.09 월","562","1041","701","340",
"남포동","총인구","2024.10 월","564","1038","700","338",
"남포동","총인구","2024.11 월","563","1044","704","340",
"남포동","총인구","2024.12 월","569","1047","705","342",
"영주1동","총인구","2020.01 월","2926","5358","2691","2667",
"영주1동","총인구","2020.02 월","2934","5347","2697","2650",
"영주1동","총인구","2020.03 월","2913","5322","2684","2638",
"영주1동","총인구","2020.04 월","2896","5273","2662","2611",
"영주1동","총인구","2020.05 월","2899","5252","2658","2594",
"영주1동","총인구","2020.06 월","2907","5238","2655","2583",
"영주1동","총인구","2020.07 월","2905","5220","2638","2582",
