address_gu,gu_pop_ratio,gu_area,gu_density,year,month
동구,2.7,9.87,9026,2023,7
영도구,3.3,14.2,7694,2023,7
부산진구,10.7,29.67,12144,2023,7
동래구,8.2,16.63,16469,2023,7
남구,7.8,26.82,9766,2023,7
북구,8.3,39.37,7081,2023,7
해운대구,11.6,51.54,7537,2023,7
사하구,9.1,41.77,7320,2023,7
금정구,6.6,65.28,3419,2023,7
강서구,4.4,181.5,819,2023,7
연제구,6.1,12.1,16854,2023,7
수영구,5.3,10.22,17362,2023,7
사상구,6.2,36.1,5769,2023,7
기장군,5.4,218.32,833,2023,7
중구,1.2,2.83,14716,2023,8
서구,3.2,13.95,7646,2023,8
동구,2.7,9.87,9123,2023,8
영도구,3.3,14.2,7710,2023,8
부산진구,10.7,29.67,12139,2023,8
동래구,8.2,16.63,16456,2023,8
남구,7.8,26.82,9750,2023,8
북구,8.3,39.37,7072,2023,8
해운대구,11.6,51.54,7531,2023,8
사하구,9.1,41.77,7309,2023,8
금정구,6.6,65.28,3411,2023,8
강서구,4.4,181.5,819,2023,8
연제구,6.1,12.1,16864,2023,8
수영구,5.3,10.22,17354,2023,8
사상구,6.2,36.1,5766,2023,8
기장군,5.4,218.32,833,2023,8
중구,1.2,2.83,14658,2023,9
서구,3.2,13.95,7651,2023,9
동구,2.7,9.87,9161,2023,9
영도구,3.3,14.2,7707,2023,9
부산진구,10.7,29.67,12137,2023,9
동래구,8.2,16.63,16446,2023,9
남구,7.8,26.82,9737,2023,9
북구,8.3,39.37,7056,2023,9
해운대구,11.5,51.54,7518,2023,9
사하구,9.1,41.77,7296,2023,9
금정구,6.6,65.28,3402,2023,9
강서구,4.4,181.5,819,2023,9
연제구,6.1,12.1,16856,2023,9
수영구,5.3,10.22,17360,2023,9
사상구,6.2,36.1,5785,2023,9
기장군,5.4,218.32,833,2023,9
중구,1.2,2.83,14614,2023,10
서구,3.2,13.95,7650,2023,10
동구,2.7,9.87,9165,2023,10
영도구,3.3,14.2,7701,2023,10
부산진구,10.8,29.67,12176,2023,10
동래구,8.1,16.63,16428,2023,10
남구,7.8,26.82,9728,2023,10
북구,8.3,39.37,7038,2023,10
해운대구,11.5,51.54,7512,2023,10
사하구,9.1,41.77,7289,2023,10
금정구,6.6,65.28,3404,2023,10
강서구,4.4,181.5,820,2023,10
연제구,6.1,12.1,16854,2023,10
수영구,5.3,10.22,17333,2023,10
사상구,6.2,36.1,5806,2023,10
기장군,5.4,218.32,833,2023,10
중구,1.2,3.01,13644,2024,5
서구,3.2,13.98,7584,2024,5
동구,2.7,10.12,8851,2024,5
영도구,3.2,14.2,7643,2024,5
부산진구,10.9,29.67,12285,2024,5
동래구,8.1,16.63,16251,2024,5
남구,7.9,26.82,9800,2024,5
북구,8.2,39.37,6954,2024,5
해운대구,11.5,51.54,7429,2024,5
사하구,9.0,41.78,7195,2024,5
금정구,6.5,65.28,3345,2024,5
강서구,4.4,182.16,816,2024,5
연제구,6.4,12.11,17586,2024,5
수영구,5.2,10.22,17176,2024,5
사상구,6.2,36.11,5760,2024,5
기장군,5.4,218.33,826,2024,5
중구,1.2,3.01,13559,2024,6
서구,3.2,13.98,7581,2024,6
동구,2.7,10.12,8832,2024,6
영도구,3.2,14.2,7629,2024,6
부산진구,10.9,29.67,12291,2024,6
동래구,8.1,16.63,16251,2024,6
남구,7.9,26.82,9798,2024,6
북구,8.2,39.37,6948,2024,6
해운대구,11.4,51.54,7419,2024,6
사하구,9.0,41.78,7184,2024,6
금정구,6.5,65.28,3341,2024,6
강서구,4.5,182.16,818,2024,6
연제구,6.4,12.11,17602,2024,6
수영구,5.2,10.22,17163,2024,6
사상구,6.2,36.11,5755,2024,6
기장군,5.4,218.33,826,2024,6
중구,1.2,3.01,13549,2024,7
서구,3.2,13.98,7572,2024,7
동구,2.7,10.12,8817,2024,7
영도구,3.2,14.2,7615,2024,7
부산진구,10.9,29.67,12308,2024,7
동래구,8.1,16.63,16266,2024,7
남구,7.9,26.82,9805,2024,7
북구,8.2,39.37,6938,2024,7
해운대구,11.4,51.54,7413,2024,7
사하구,9.0,41.78,7173,2024,7
금정구,6.5,65.28,3333,2024,7
강서구,4.5,182.16,818,2024,7
연제구,6.4,12.11,17606,2024,7
수영구,5.2,10.22,17149,2024,7
사상구,6.2,36.11,5745,2024,7
기장군,5.4,218.33,825,2024,7
중구,1.2,3.01,13546,2024,8
서구,3.2,13.98,7564,2024,8
동구,2.7,10.12,8809,2024,8
영도구,3.2,14.2,7593,2024,8
부산진구,10.9,29.67,12304,2024,8
동래구,8.1,16.63,16263,2024,8
남구,7.9,26.82,9802,2024,8
북구,8.2,39.37,6925,2024,8
해운대구,11.5,51.54,7420,2024,8
사하구,9.0,41.78,7163,2024,8
금정구,6.5,65.28,3322,2024,8
강서구,4.5,182.16,820,2024,8
연제구,6.4,12.11,17616,2024,8
수영구,5.2,10.22,17129,2024,8
사상구,6.2,36.11,5733,2024,8
기장군,5.4,218.33,824,2024,8
중구,1.2,3.01,13499,2024,9
서구,3.2,13.98,7570,2024,9
동구,2.7,10.12,8788,2024,9
영도구,3.2,14.2,7578,2024,9
부산진구,10.9,29.67,12299,2024,9
동래구,8.1,16.63,16260,2024,9
남구,7.9,26.82,9785,2024,9
북구,8.2,39.37,6913,2024,9
해운대구,11.5,51.54,7422,2024,9
사하구,9.0,41.78,7149,2024,9
금정구,6.5,65.28,3313,2024,9
강서구,4.5,182.16,823,2024,9
연제구,6.4,12.11,17618,2024,9
수영구,5.2,10.22,17119,2024,9
사상구,6.2,36.11,5721,2024,9
기장군,5.4,218.33,823,2024,9
중구,1.2,3.01,13469,2024,10
서구,3.2,13.98,7591,2024,10
동구,2.7,10.12,8771,2024,10
영도구,3.2,14.2,7563,2024,10
부산진구,10.9,29.67,12298,2024,10
동래구,8.1,16.63,16267,2024,10
남구,7.9,26.82,9791,2024,10
북구,8.2,39.37,6905,2024,10
해운대구,11.5,51.54,7421,2024,10
사하구,8.9,41.78,7140,2024,10
금정구,6.5,65.28,3317,2024,10
강서구,4.5,182.16,823,2024,10
연제구,6.4,12.11,17634,2024,10
수영구,5.2,10.22,17106,2024,10
사상구,6.2,36.11,5719,2024,10
기장군,5.4,218.33,822,2024,10
