"시점","구군별(1)","연령별(1)",계,남자,여자
"2022.05","해운대구","65세 이상",74998,32445,42553
"2022.05","사하구","65세 이상",64099,28523,35576
"2022.05","금정구","65세 이상",51265,22410,28855
"2022.05","강서구","65세 이상",18450,8733,9717
"2022.05","연제구","65세 이상",43154,19054,24100
"2022.05","수영구","65세 이상",39723,17089,22634
"2022.05","사상구","65세 이상",42003,18903,23100
"2022.05","기장군","65세 이상",30171,12999,17172
"2022.06","중구","65세 이상",11471,4877,6594
"2022.06","서구","65세 이상",27997,11876,16121
"2022.06","동구","65세 이상",24412,10221,14191
"2022.06","영도구","65세 이상",32505,13869,18636
"2022.06","부산진구","65세 이상",73819,31989,41830
"2022.06","동래구","65세 이상",53788,23633,30155
"2022.06","남구","65세 이상",56574,24502,32072
"2022.06","북구","65세 이상",54239,24258,29981
"2022.06","해운대구","65세 이상",75164,32508,42656
"2022.06","사하구","65세 이상",64231,28568,35663
"2022.06","금정구","65세 이상",51334,22437,28897
"2022.06","강서구","65세 이상",18534,8779,9755
"2022.06","연제구","65세 이상",43267,19109,24158
"2022.06","수영구","65세 이상",39824,17136,22688
"2022.06","사상구","65세 이상",42159,18976,23183
"2022.06","기장군","65세 이상",30376,13080,17296
"2022.07","중구","65세 이상",11483,4881,6602
"2022.07","서구","65세 이상",28125,11930,16195
"2022.07","동구","65세 이상",24450,10239,14211
"2022.07","영도구","65세 이상",32555,13891,18664
"2022.07","부산진구","65세 이상",74137,32147,41990
"2022.07","동래구","65세 이상",54036,23736,30300
"2022.07","남구","65세 이상",56716,24549,32167
"2022.07","북구","65세 이상",54463,24370,30093
"2022.07","해운대구","65세 이상",75396,32601,42795
"2022.07","사하구","65세 이상",64502,28702,35800
"2022.07","금정구","65세 이상",51492,22490,29002
"2022.07","강서구","65세 이상",18617,8807,9810
"2022.07","연제구","65세 이상",43394,19159,24235
"2022.07","수영구","65세 이상",39935,17185,22750
"2022.07","사상구","65세 이상",42274,19048,23226
"2022.07","기장군","65세 이상",30505,13132,17373
"2022.08","중구","65세 이상",11526,4901,6625
"2022.08","서구","65세 이상",28271,11997,16274
"2022.08","동구","65세 이상",24558,10301,14257
"2022.08","영도구","65세 이상",32632,13930,18702
"2022.08","부산진구","65세 이상",74533,32334,42199
"2022.08","동래구","65세 이상",54308,23846,30462
"2022.08","남구","65세 이상",56867,24632,32235
"2022.08","북구","65세 이상",54819,24517,30302
"2022.08","해운대구","65세 이상",75801,32782,43019
"2022.08","사하구","65세 이상",64883,28868,36015
"2022.08","금정구","65세 이상",51734,22621,29113
"2022.08","강서구","65세 이상",18778,8892,9886
"2022.08","연제구","65세 이상",43598,19233,24365
"2022.08","수영구","65세 이상",40135,17269,22866
"2022.08","사상구","65세 이상",42499,19154,23345
"2022.08","기장군","65세 이상",30645,13200,17445
"2022.09","중구","65세 이상",11500,4893,6607
"2022.09","서구","65세 이상",28295,12011,16284
"2022.09","동구","65세 이상",24362,10254,14108
"2022.09","영도구","65세 이상",32629,13925,18704
"2022.09","부산진구","65세 이상",74596,32337,42259
"2022.09","동래구","65세 이상",54347,23864,30483
"2022.09","남구","65세 이상",56787,24586,32201
"2022.09","북구","65세 이상",55065,24642,30423
"2022.09","해운대구","65세 이상",75768,32745,43023
"2022.09","사하구","65세 이상",65028,28911,36117
"2022.09","금정구","65세 이상",51787,22648,29139
"2022.09","강서구","65세 이상",18796,8906,9890
"2022.09","연제구","65세 이상",43637,19232,24405
"2022.09","수영구","65세 이상",40244,17308,22936
"2022.09","사상구","65세 이상",42517,19141,23376
"2022.09","기장군","65세 이상",30816,13272,17544
"2022.10","중구","65세 이상",11522,4895,6627
"2022.10","서구","65세 이상",28416,12052,16364
"2022.10","동구","65세 이상",24447,10287,14160
"2022.10","영도구","65세 이상",32715,13958,18757
"2022.10","부산진구","65세 이상",75093,32547,42546
"2022.10","동래구","65세 이상",54554,23957,30597
"2022.10","남구","65세 이상",56900,24654,32246
"2022.10","북구","65세 이상",55399,24821,30578
"2022.10","해운대구","65세 이상",76055,32875,43180
"2022.10","사하구","65세 이상",65424,29097,36327
"2022.10","금정구","65세 이상",51962,22734,29228
"2022.10","강서구","65세 이상",18906,8943,9963
"2022.10","연제구","65세 이상",43824,19325,24499
"2022.10","수영구","65세 이상",40513,17411,23102
