EMD_CD,EMD_ENG_NM,address_gu,sub_address,EMD_KOR_NM,lat,lon,latitude,longitude
26440116,Beombang-dong,강서구,범방동,범방동,35.156,128.881,35.156487,128.88054
26440117,Sinho-dong,강서구,신호동,신호동,35.085,128.877,35.084587,128.876549
26440118,Dongseon-dong,강서구,동선동,동선동,35.045,128.838,35.045331,128.837524
26440119,Seongbuk-dong,강서구,성북동,성북동,35.065,128.82,35.064667,128.819972
26440120,Nulcha-dong,강서구,눌차동,눌차동,35.067,128.846,35.067161,128.84622
26440121,Cheonseong-dong,강서구,천성동,천성동,35.032,128.821,35.031564,128.821302
26440122,Daehang-dong,강서구,대항동,대항동,35.008,128.831,35.008166,128.830803
26470101,Geoje-dong,연제구,거제동,거제동,35.189,129.068,35.188571,129.06759
26470102,Yeonsan-dong,연제구,연산동,연산동,35.179,129.091,35.179042,129.091354
26500101,Mangmi-dong,수영구,망미동,망미동,35.173,129.105,35.172958,129.104698
26500102,Suyeong-dong,수영구,수영동,수영동,35.17,129.118,35.170453,129.117633
26500103,Millak-dong,수영구,민락동,민락동,35.16,129.126,35.159708,129.125585
26500104,Gwangan-dong,수영구,광안동,광안동,35.16,129.109,35.159553,129.109361
26500105,Namcheon-dong,수영구,남천동,남천동,35.144,129.11,35.144134,129.109679
26530101,Samnak-dong,사상구,삼락동,삼락동,35.175,128.972,35.175088,128.972285
26530102,Mora-dong,사상구,모라동,모라동,35.185,129.001,35.184575,129.001106
26530103,Deokpo-dong,사상구,덕포동,덕포동,35.175,128.988,35.174642,128.988449
26530104,Gwaebeop-dong,사상구,괘법동,괘법동,35.166,128.993,35.16612,128.993145
26530105,Gamjeon-dong,사상구,감전동,감전동,35.15,128.979,35.150251,128.979056
26530106,Jurye-dong,사상구,주례동,주례동,35.152,129.006,35.151616,129.005558
26530107,Hakjang-dong,사상구,학장동,학장동,35.138,128.989,35.137702,128.988849
26530108,Eomgung-dong,사상구,엄궁동,엄궁동,35.13,128.971,35.130002,128.970597
26710250,Gijang-eup,기장군,기장읍,기장읍,35.226,129.207,35.225956,129.206998
26710253,Jangan-eup,기장군,장안읍,장안읍,35.35,129.247,35.349513,129.247193
26710256,Jeonggwan-eup,기장군,정관읍,정관읍,35.336,129.178,35.335992,129.177916
26710259,Ilgwang-eup,기장군,일광읍,일광읍,35.287,129.223,35.287268,129.22311
26710330,Cheolma-myeon,기장군,철마면,철마면,35.282,129.154,35.281958,129.154448
