영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
노아,Action Adventure Drama,2014,2026574,952,(주)씨제이이엔엠,125000000.0,13717745.0,359200044,54.46429694234244,3.8189708573643717,D (상대적 저성과)
듄: 파트2,Action Adventure Drama Sci-Fi,2024,2016202,1544,워너브러더스코리아(주),,17337998.0,714844358,108.38945048032942,2.425422793922366,C (글로벌 의존)
캐리비안의 해적 : 블랙펄의 저주,Action Adventure Fantasy,2003,2010460,57,월트디즈니코리아(주),140000000.0,10749638.111181384,654264546,99.20393693546114,1.6430109467037182,C (글로벌 의존)
레버넌트: 죽음에서 돌아온 자,Adventure Drama Western,2016,2007657,967,이십세기폭스코리아(주),135000000.0,13931528.0,532950503,80.80949581109397,2.614037874357724,D (상대적 저성과)
오페라의 유령,Drama Musical Romance Thriller,2004,2006880,71,(주)팝엔터테인먼트 (주)드림팩트엔터테인먼트 씨제이엔터테인먼트,70000000.0,8322052.0,154674241,23.45273596669002,5.380373581403254,B (국내 특화)
테이큰 3,Action Crime Thriller,2015,2006561,616,이십세기폭스코리아(주),48000000.0,14237600.0,326479141,49.502936254943464,4.3609524199281084,D (상대적 저성과)
페르시아의 왕자: 시간의 모래,Action Adventure Fantasy,2010,2003533,570,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,13377647.0,336365676,51.00199837079015,3.977114180936821,D (상대적 저성과)
박물관이 살아있다 2,Adventure Comedy Family Fantasy,2009,2002526,569,이십세기폭스코리아(주),150000000.0,10887536.0,413106170,62.637901880640634,2.6355297477159443,D (상대적 저성과)
에이리언: 로물루스,Horror Sci-Fi Thriller,2024,2002033,1436,월트디즈니컴퍼니코리아유한책임회사,,14994393.0,350865342,53.200534055236744,4.273546345309876,D (상대적 저성과)
테넷,Action Sci-Fi Thriller,2020,1998987,2228,워너브러더스코리아(주),,16783284.0,365304105,55.38983522222688,4.594332166072976,D (상대적 저성과)
크루엘라,Adventure Comedy Crime Drama,2021,1983397,1184,월트디즈니컴퍼니코리아유한책임회사,,16648115.0,233503234,35.40531156943086,7.129714957181278,B (국내 특화)
데드풀과 울버린,Action Adventure Comedy Sci-Fi,2024,1977010,1948,월트디즈니컴퍼니코리아유한책임회사,,15028073.0,1338073645,202.88761526989822,1.123112547366554,C (글로벌 의존)
